,MAE
0,2.256327311492807
1,2.10858631488559
2,2.1402905746545207
3,2.135955457367114
4,2.0726975004249644
5,2.0761964017532293
6,2.0511760640099617
7,2.0592112110969714
8,2.0324497833539312
9,2.078070590181171
10,2.0387384868975174
11,2.0688168460672554
12,2.019142690148254
13,2.0371162220552392
14,2.0448078391665505
15,2.040940461267952
16,2.0356882097160383
17,2.054356365825025
18,2.0901540675684953
19,2.0150349140167236
20,2.0586715093697197
21,2.2160081706912362
22,2.0202241322058083
23,2.040892234144285
24,2.042517666677827
25,1.9922491038355845
26,2.0018495472318714
27,1.9794373204931617
28,1.988099502257405
29,2.0407113262251313
30,2.0399341217895386
31,2.023883480725326
32,1.9758547673799112
33,2.0741955536627485
34,2.0198166205151247
35,1.9623621087225656
36,2.0295550742632824
37,2.0317811282032516
38,2.0186337967832646
39,2.0288488969802856
40,2.0621279666801255
41,1.9840514133254208
42,2.0107756687601808
43,1.9713997600540039
44,2.0012183025629833
45,2.014388451209435
46,1.9441415301201068
47,1.984732639498827
48,2.0393594452417068
49,1.9973148141588484
50,2.1526701611243872
51,2.002356162813843
52,2.0182006040882525
53,2.080790949456486
54,2.0449454740150688
55,1.9913831082257358
56,1.9884789054191383
57,2.06696562747243
58,1.9957807515118573
59,2.053307463725408
60,2.0975434327175324
61,2.1126477119812908
62,1.9662958091160037
63,2.0481908481662012
64,2.0391446013199657
65,1.994831136510342
66,2.095626660683694
67,1.9919347995418613
68,2.103117394092989
69,2.147971848224072
70,2.083398119473
71,2.021353121496673
72,35940.923616919834
73,2.0488126789551435
74,2.0187171177197527
75,2.010658376175782
